taxi_id;indulas;idotartam;tavolsag;viteldij;borravalo;fizetes_modja
4109;2016-12-30T14:15;540;0.0;8.5;2.0;bankkártya
7643;2016-12-30T17:00;240;0.0;5.0;0.0;készpénz
3043;2016-12-30T17:45;600;0.0;8.75;2.0;bankkártya
4675;2016-12-30T19:00;360;0.0;6.25;3.0;bankkártya
1261;2016-12-30T21:00;480;0.0;7.75;2.0;bankkártya
8031;2016-12-30T21:00;840;0.0;11.5;2.3;bankkártya
414;2016-12-30T21:15;120;0.0;4.25;2.0;bankkártya
6902;2016-12-30T22:30;180;0.0;4.25;0.0;készpénz
812;2016-12-30T23:15;540;0.0;7.5;2.0;bankkártya
3649;2016-12-31T00:30;420;0.0;7.0;0.0;készpénz
6513;2016-12-31T01:00;240;0.0;5.25;4.0;bankkártya
2388;2016-12-31T02:30;180;0.0;4.75;0.0;készpénz
684;2016-12-31T12:30;240;0.0;5.0;1.0;bankkártya
3799;2016-12-31T14:15;240;0.0;5.5;0.0;készpénz
547;2016-12-31T16:00;300;0.0;3.25;0.0;készpénz
8274;2016-12-31T16:15;720;0.0;9.75;2.15;bankkártya
2538;2016-12-31T17:15;540;0.0;6.75;0.0;készpénz
1164;2016-12-31T19:30;240;0.0;5.25;0.0;készpénz
4119;2016-12-31T19:45;1440;0.0;18.0;0.0;készpénz
3612;2016-12-31T21:30;1200;0.0;16.0;0.0;készpénz
4638;2016-12-31T22:45;2400;0.0;44.0;11.25;bankkártya
